category,venue_id,name,longitude,created_on,lattitude
atm,8225,One And All,-5.53289830684662,1465943680,50.1220639499942
default,42,Belle Modeste,24.9390492,1397211665,60.1605345
grocery,15,Slaters Meats,-123.3124115,1394219130,48.4377466
default,33,kaktusy eshop,14.3588965,1422120857,50.0658333
food,3,Pembury Tavern,-0.0593789,1370785480,51.5493776
shopping,4,Tietokonekauppa,22.2818123,1417878506,60.4456862
lodging,5,Bandholm Hotel,11.4862062,1365921482,54.8370236
default,8,SierraHosts.net,-121.0165666,1386794770,39.2615749
nightlife,7,Helkan Baari,24.927098,1398852994,60.169775
default,10,Costa Rica Travel Market LLC,-104.9362682,1389447527,39.7146512
attraction,9,Bio Oko,14.4299522,1419019534,50.0999576
shopping,12,MIT Coop,-71.0863982,1409879886,42.3626795
default,11,SurajShkathi,80.2507557,1388228457,13.052391
food,14,The Dubliner,12.5789419,1402145582,55.6786451
default,6,Deborah Hodgson Vamp Couture,-122.4504132,1385666967,37.7705183
food,16,Coalheavers Arms,-0.2457512,1370785039,52.5621339
lodging,17,Monomatapa Hotel,31.0469154,1417043002,-17.825695
transport,18,E. S. LES ALEGRIES,2.830864,1424272829,41.713569
food,19,Pizzeria OroStube,11.1504525,1418985021,46.0647594
transport,20,StarBikes Rental,4.9080895,1421950763,52.3774607
default,21,"Electronic Tour Guide Rental Point, Art Elephants souvenir & gift shop",14.4169321,1406348966,50.0859427
default,22,Romana Dvořáková,12.8808408,1387016981,50.2330492
default,23,Locus Workspace - Slezská | Coworkingové centrum,14.4519789,1382458998,50.0763866
default,27,STARSKY DIGITAL AGENCY,14.4191508,1386581202,50.0816786
default,28,GOURMETKAVA.CZ (výdejní místo na vyžádání emailem),14.4629394,1388703167,50.0777622
default,31,Salva_Quardia,17.2932786,1399892189,49.6142365
default,34,Studio Najbrt,14.3983579,1427992618,50.0669199
shopping,35,Jeli-design | Interiérový design,14.4747797,1386828545,50.1092795
shopping,36,HUG BikeShop,24.9259094,1427135702,60.1623144
food,37,The Port Royal,-3.526299,1393702018,50.7156495
